# MGM_Star_index J_Mag e_J_Mag M_dust e_M_dust det
446 13.632 0.014 1.2 0.31 0
448 15.003 0.011 6.5 0.33 1
450 14.7 0.009 1.4 0.35 0
452 13.766 0.014 1.3 0.34 0
453 11.258 0.03 2.1 0.31 1
454 14.528 0.02 1.3 0.33 0
456 12.097 0.026 1.3 0.33 0
458 13.759 0.014 55.8 0.3 1
459 14.45 0.008 1.1 0.28 0
460 13.915 0.007 1.5 0.34 1
461 13.02 0.004 4.2 0.3 1
462 15.464 0.03 1.3 0.32 0
463 13.507 0.012 5.5 0.31 1
464 13.62 0.013 1.3 0.32 0
466 12.842 0.025 14.8 0.32 1
469 13.239 0.011 1.2 0.29 1
472 12.05 0.025 1.5 0.3 1
474 16.074 0.014 3.3 0.32 1
479 8.776 0.023 84.7 0.32 1
480 13.298 0.008 12.5 0.32 1
484 14.734 0.009 2.1 0.3 1
485 12.152 0.022 8.4 0.35 1
486 11.648 0.022 16.1 0.31 1
487 15.5 0.014 15.7 0.29 1
488 12.762 0.024 33.7 0.34 1
490 14.206 0.007 1.2 0.3 0
491 12.432 0.023 47.7 0.35 1
492 14.982 0.023 1.3 0.32 1
493 15.714 0.014 1.4 0.35 0
494 11.232 0.023 2.6 0.35 1
495 11.882 0.024 9.3 0.32 1
496 11.471 0.023 1.2 0.3 0
501 12.128 0.023 1.5 0.33 1
502 13.313 0.005 1.9 0.3 1
503 10.853 0.022 3.7 0.31 1
504 11.482 0.022 3.1 0.32 1
506 11.987 0.023 5.2 0.31 1
507 13.776 0.001 1.4 0.34 0
508 11.882 0.007 97.2 0.34 1
511 11.968 0.024 1.2 0.3 0
512 14.77 0.022 83.8 0.62 1
513 13.83 0.006 1.4 0.29 1
515 13.345 0.005 2.0 0.49 0
516 14.109 0.007 1.4 0.35 0
517 17.357 0.054 8.1 0.3 1
520 13.963 0.003 59.4 1.03 1
521 13.509 0.004 6.5 1.63 0
522 17.16 0.033 1.2 0.3 0
525 20.253 0.143 62.3 0.29 1
530 13.717 0.005 85.4 0.31 1
532 14.865 0.008 117.6 0.36 1
533 13.104 0.016 54.1 0.29 1
534 11.372 0.022 6.7 0.32 1
535 11.494 0.023 33.7 0.32 1
538 11.127 0.022 1.3 0.32 0
539 12.752 0.023 5.9 0.31 1
540 12.985 0.004 363.9 0.55 1
541 12.474 0.024 1.2 0.29 0
542 19.767 0.056 2.2 0.55 0
543 11.37 0.022 1.3 0.32 0
546 14.351 0.006 9.7 0.32 1
548 14.871 0.009 1.3 0.3 1
549 12.493 0.023 1.4 0.34 0
553 10.896 0.023 5.7 0.3 1
554 12.377 0.026 1.2 0.3 0
555 14.367 0.01 1.4 0.35 0
556 13.806 0.003 49.2 0.36 1
557 18.236 0.049 1.4 0.35 0
559 12.989 0.034 1.6 0.33 1
563 14.483 0.009 1.4 0.35 0
565 14.491 0.018 1.3 0.31 0
569 12.508 0.022 3.6 0.35 1
570 14.238 0.017 1.4 0.35 0
571 12.407 0.024 52.9 0.32 1
573 14.716 0.009 1.4 0.34 0
576 12.119 0.022 42.7 0.4 1
580 12.138 0.022 2.1 0.39 1
581 11.706 0.024 51.9 0.41 1
582 13.33 0.009 3.1 0.38 1
583 15.694 0.012 7.4 0.4 1
584 15.473 0.011 5.6 0.37 1
585 11.983 0.022 1.5 0.37 0
586 16.041 0.025 21.5 0.26 1
588 14.288 0.006 1.6 0.4 0
589 15.176 0.009 1.4 0.34 0
590 12.725 0.021 133.5 0.42 1
599 13.142 0.004 1.5 0.37 0
600 16.876 0.023 2.2 0.4 1
601 13.992 0.007 7.5 0.38 1
603 14.158 0.007 2.1 0.36 1
604 13.551 0.004 1.7 0.31 1
605 15.21 0.006 1.4 0.35 0
607 14.294 0.009 1.5 0.37 0
608 15.2 0.009 1.7 0.38 1
610 12.188 0.032 1.4 0.36 0
611 14.171 0.009 69.3 0.36 1
612 16.198 0.015 252.3 0.51 1
613 12.955 0.022 3.1 0.38 1
614 14.793 0.011 16.6 0.38 1
616 11.9 0.024 1.5 0.37 0
619 12.382 0.021 9.7 0.39 1
620 13.72 0.003 1.6 0.4 0
621 11.375 0.059 1.7 0.31 1
622 13.36 0.003 1.4 0.36 0
626 13.889 0.005 13.0 0.33 1
634 16.542 0.016 4.9 0.35 1
635 12.965 0.021 1.4 0.34 0
637 14.411 0.006 10.4 0.34 1
639 16.586 0.033 1.4 0.35 0
641 12.089 0.025 8.4 0.34 1
642 13.488 0.001 1.5 0.38 0
643 14.017 0.016 44.2 0.35 1
644 14.843 0.01 14.9 0.36 1
645 13.86 0.005 72.1 0.33 1
646 12.035 0.027 1.4 0.34 0
648 17.148 0.034 5.2 0.32 1
650 10.332 0.023 2.9 0.34 1
651 14.777 0.01 1.4 0.35 0
652 14.572 0.006 1.4 0.36 0
653 11.987 0.022 3.5 0.36 1
654 14.274 0.007 13.0 0.36 1
655 13.217 0.009 3.2 0.33 1
656 12.699 0.021 12.0 0.34 1
657 13.03 0.007 1.4 0.36 0
658 15.733 0.028 1.4 0.32 1
660 13.91 0.013 3.1 0.35 1
661 12.333 0.022 7.0 0.33 1
663 15.038 0.012 3.5 0.34 1
664 13.924 0.003 11.7 0.34 1
665 13.911 0.003 1.4 0.34 0
666 12.348 0.025 2.8 0.33 1
668 13.401 0.003 1.4 0.36 0
671 14.211 0.009 1.4 0.34 0
672 14.202 0.004 1.4 0.34 0
673 11.239 0.023 1.3 0.33 0
674 12.84 0.02 1.3 0.33 0
675 13.244 0.004 1.5 0.38 0
676 14.658 0.007 61.7 0.38 1
677 13.136 0.001 22.1 0.31 1
679 13.586 0.003 38.1 0.34 1
680 19.511 0.109 8.8 0.39 1
681 12.117 0.026 1.5 0.37 0
682 13.661 0.006 1.6 0.41 0
683 11.199 0.025 1.7 0.33 1
684 14.796 0.011 1.6 0.39 0
686 12.138 0.023 27.7 0.39 1
692 14.229 0.008 2.1 0.36 1
693 11.399 0.026 1.6 0.41 0
694 15.857 0.018 3.0 0.35 1
698 11.97 0.02 1.5 0.36 0
699 11.525 0.024 1.4 0.35 0
700 14.004 0.008 1.4 0.35 0
702 14.814 0.009 1.5 0.36 0
703 15.681 0.015 1.4 0.35 0
706 12.729 0.024 1.5 0.33 1
708 12.338 0.027 1.5 0.36 0
710 8.166 0.029 1.5 0.37 0
711 13.6 0.003 1.5 0.38 0
712 12.029 0.023 25.1 0.35 1
714 13.875 0.003 3.3 0.34 1
716 18.628 0.051 1.3 0.33 0
719 8.993 0.023 11.0 0.56 1
720 14.74 0.005 5.8 0.39 1
723 11.974 0.021 1.6 0.39 0
724 14.595 0.01 1.4 0.36 0
725 13.895 0.003 13.5 0.39 1
726 15.578 0.014 35.5 0.48 1
727 14.792 0.01 1.6 0.39 0
728 12.214 0.023 1.5 0.37 0
732 12.447 0.022 1.4 0.35 0
733 12.976 0.026 1.5 0.36 0
735 16.101 0.014 10.7 0.37 1
736 12.931 0.026 1.4 0.35 0
738 13.499 0.003 1.4 0.35 0
739 11.01 0.026 1.6 0.35 1
741 14.736 0.02 1.6 0.39 0
743 14.261 0.008 1.5 0.37 0
744 12.36 0.002 36.8 0.41 1
746 14.928 0.009 9.2 0.37 1
748 14.454 0.004 1.3 0.32 0
749 12.743 0.024 1.3 0.34 0
750 17.434 0.04 1.4 0.36 0
751 13.588 0.003 19.7 0.37 1
752 16.612 0.046 1.5 0.38 0
753 18.02 0.044 2.6 0.34 1
754 14.677 0.011 103.8 0.4 1
756 12.28 0.002 1.5 0.37 0
757 15.643 0.008 1.7 0.42 0
759 13.986 0.005 1.5 0.38 0
760 12.965 0.002 69.7 0.4 1
762 12.352 0.024 101.5 0.45 1
763 14.192 0.002 1.4 0.36 0
764 13.72 0.006 1.5 0.39 0
766 12.873 0.023 55.5 0.36 1
774 18.259 0.034 1.5 0.37 0
775 14.55 0.002 1.5 0.38 0
776 12.313 0.003 7.9 0.37 1
778 15.955 0.018 3.5 0.37 1
779 16.815 0.026 1.5 0.36 0
780 11.794 0.024 19.9 0.4 1
781 14.303 0.004 1.6 0.4 0
782 15.066 0.01 2.0 0.38 1
784 12.835 0.038 1.7 0.43 0
785 16.089 0.006 1.6 0.41 0
787 17.003 0.03 1.6 0.4 0
789 11.76 0.024 1.5 0.37 0
790 12.634 0.002 1.6 0.39 0
791 14.936 0.006 1.7 0.43 0
794 12.194 0.021 28.3 0.36 1
795 12.689 0.051 1.4 0.36 0
796 13.049 0.002 28.1 0.44 1
798 14.248 0.008 4.1 0.36 1
799 12.693 0.023 1.4 0.34 0
800 16.421 0.065 16.6 0.39 1
801 11.545 0.027 1.6 0.35 1
804 11.262 0.023 13.2 0.34 1
805 14.25 0.003 1.4 0.35 0
807 10.797 0.021 5.7 0.35 1
808 14.655 0.009 1.6 0.36 1
810 18.565 0.043 92.0 0.43 1
811 15.729 0.03 19.6 0.36 1
812 14.659 0.018 27.5 0.38 1
813 12.478 0.024 19.2 0.4 1
814 14.874 0.007 1.6 0.41 0
815 13.765 0.003 3.5 0.39 1
816 14.932 0.009 1.4 0.36 0
817 14.085 0.009 2.0 0.44 1
818 12.922 0.002 4.8 0.36 1
819 15.733 0.016 15.4 0.39 1
820 15.846 0.008 1.5 0.38 0
822 12.984 0.002 1.5 0.39 0
824 13.793 0.003 1.6 0.39 0
825 15.374 0.007 1.5 0.37 0
827 12.039 0.036 2.2 0.41 1
828 18.308 0.053 5.0 0.38 1
829 14.364 0.004 4.3 0.36 1
830 14.801 0.02 2.0 0.35 1
832 15.765 0.008 40.7 0.41 1
833 16.515 0.044 2.7 0.38 1
834 13.484 0.004 1.7 0.42 0
835 14.468 0.017 1.5 0.38 0
836 14.324 0.003 1.5 0.37 0
838 15.282 0.005 5.2 0.4 1
840 13.618 0.009 46.3 0.41 1
842 11.602 0.001 1.5 0.37 0
844 14.157 0.004 1.4 0.36 0
846 12.965 0.02 1.5 0.38 0
848 15.344 0.007 29.4 0.37 1
850 14.371 0.004 1.6 0.4 0
851 12.912 0.065 4.3 0.35 1
852 16.055 0.01 1.5 0.37 0
855 10.491 0.047 1.7 0.39 1
856 9.701 0.026 1.5 0.36 0
857 19.273 0.085 1.8 0.35 1
858 13.566 0.003 1.8 0.4 1
859 11.066 0.036 7.2 0.36 1
862 15.669 0.008 7.5 0.38 1
863 15.514 0.011 1.3 0.33 0
865 16.709 0.052 12.8 0.31 1
866 13.322 0.006 1.4 0.35 0
867 13.81 0.003 1.8 0.41 1
869 13.969 0.008 14.8 0.36 1
870 17.024 0.03 1.5 0.38 0
871 11.439 0.026 1.7 0.43 0
872 12.085 0.001 10.8 0.38 1
873 17.013 0.055 1.6 0.41 0
874 16.073 0.036 7.0 0.36 1
875 15.836 0.01 1.7 0.42 0
876 12.387 0.022 4.9 0.36 1
880 15.193 0.003 1.6 0.4 0
881 13.831 0.005 1.7 0.44 0
883 12.721 0.002 1.6 0.4 0
884 12.945 0.024 1.5 0.37 0
886 15.778 0.018 2.2 0.4 1
887 15.587 0.007 2.4 0.36 1
888 15.169 0.004 1.8 0.46 0
889 13.557 0.007 2.1 0.45 1
890 15.689 0.013 1.4 0.35 0
891 16.175 0.02 1.8 0.36 1
893 11.071 0.026 1.6 0.4 0
894 11.032 0.027 1.6 0.4 0
898 14.926 0.005 1.5 0.37 0
900 10.928 0.022 3.0 0.75 0
902 15.633 0.014 3.3 0.39 1
903 13.013 0.003 6.1 0.38 1
905 14.399 0.004 1.4 0.35 0
907 13.819 0.003 1.6 0.4 0
908 13.049 0.017 1.4 0.36 0
909 16.525 0.014 82.1 0.44 1
910 12.987 0.024 1.5 0.37 1
911 10.718 0.206 11.0 0.43 1
912 12.178 0.005 1.5 0.38 0
913 16.213 0.006 1.6 0.39 0
914 18.508 0.054 6.7 0.39 1
915 13.911 0.005 6.8 0.37 1
916 14.593 0.006 1.6 0.39 0
917 11.194 0.022 2.1 0.52 1
918 14.798 0.011 2.3 0.39 1
920 9.841 0.026 8.3 0.42 1
922 13.77 0.003 18.4 0.41 1
923 15.397 0.015 1.6 0.39 0
924 13.37 0.006 2.1 0.36 1
925 14.712 0.01 6.7 0.53 1
926 12.783 0.023 31.8 0.34 1
927 17.164 0.029 74.0 0.4 1
928 14.827 0.02 1.8 0.44 0
929 13.311 0.009 2.1 0.5 1
930 11.639 0.004 14.0 0.35 1
932 15.519 0.026 1.8 0.44 0
934 13.327 0.004 1.7 0.43 0
935 9.567 0.022 27.4 0.43 1
937 12.996 0.023 2.9 0.74 0
941 13.533 0.006 1.6 0.4 0
942 10.398 0.028 3.6 0.64 1
946 11.637 0.022 1.5 0.36 0
947 8.086 0.029 1.5 0.37 0
948 17.714 0.028 1.5 0.38 0
949 11.573 0.001 1.6 0.41 0
952 13.649 0.01 1.6 0.41 0
953 15.057 0.01 1.5 0.39 0
954 13.307 0.01 7.3 0.36 1
955 14.076 0.006 1.6 0.41 0
956 19.507 0.059 2.0 0.5 0
957 12.749 0.004 1.6 0.41 0
958 12.796 0.026 1.3 0.33 0
959 15.252 0.021 1.6 0.37 1
960 14.872 0.004 97.2 0.4 1
962 11.049 0.032 1.3 0.33 0
963 10.182 0.023 1.5 0.37 0
965 17.723 0.04 1.5 0.37 0
966 12.437 0.023 7.6 0.33 1
967 11.902 0.024 3.3 0.38 1
969 16.089 0.02 2.8 0.32 1
971 10.824 0.021 34.2 0.39 1
973 12.247 0.005 1.4 0.34 0
974 12.792 0.029 1.4 0.34 1
977 12.896 0.024 1.8 0.4 1
978 11.845 0.021 1.4 0.36 0
979 11.444 0.03 14.6 0.31 1
980 12.989 0.021 96.9 0.34 1
981 15.506 0.014 1.4 0.34 0
982 15.018 0.01 1.6 0.4 0
983 15.361 0.023 1.4 0.34 0
984 16.325 0.05 4.1 0.35 1
985 13.162 0.002 1.3 0.33 1
986 13.773 0.005 1.4 0.36 0
988 13.123 0.008 1.5 0.38 0
989 15.916 0.024 1.5 0.37 0
990 14.805 0.011 3.4 0.39 1
991 10.371 0.022 37.3 0.35 1
992 10.458 0.035 1.4 0.36 0
997 13.587 0.004 24.7 0.33 1
999 13.26 0.006 1.4 0.35 1
1000 12.489 0.039 85.1 0.36 1
1001 15.414 0.014 37.0 0.35 1
1002 15.749 0.055 1.7 0.33 1
1003 13.027 0.005 1.3 0.33 0
1004 13.082 0.009 1.4 0.36 0
1006 13.589 0.004 26.6 0.33 1
1007 11.572 0.02 51.8 0.35 1
1009 10.619 0.023 4.5 0.37 1
1010 13.575 0.009 1.4 0.35 0
1011 12.509 0.002 54.4 0.42 1
1012 14.175 0.008 1.6 0.39 0
1013 12.875 0.052 1.3 0.31 0
1014 15.813 0.029 1.2 0.31 0
1015 13.314 0.006 1.5 0.39 0
1016 12.618 0.022 2.0 0.36 1
1017 16.824 0.018 1.6 0.4 0
1018 13.481 0.006 1.6 0.39 0
1020 13.922 0.015 3.8 0.37 1
1021 12.428 0.002 1.5 0.38 0
1022 12.62 0.023 2.9 0.39 1
1023 15.102 0.021 1.4 0.34 0
1024 20.576 0.229 70.8 0.44 1
1025 18.967 0.076 1.4 0.35 0
1028 14.467 0.017 1.5 0.39 0
